Newcastle upon Tyne Central and West,bbc.co.uk/bbcnewcastle
Newcastle upon Tyne East and Wallsend,bbc.co.uk/bbcnewcastle
Newcastle upon Tyne North,bbc.co.uk/bbcnewcastle
Barrow and Furness,bbc.co.uk/cumbria
Carlisle,bbc.co.uk/cumbria
Penrith and Solway,bbc.co.uk/cumbria
Whitehaven and Workington,bbc.co.uk/cumbria
Daventry,bbc.co.uk/northampton
Northampton North,bbc.co.uk/northampton
Northampton South,bbc.co.uk/northampton
South Northamptonshire,bbc.co.uk/northampton
Nottingham East,bbc.co.uk/nottingham
Nottingham North and Kimberley,bbc.co.uk/nottingham
Nottingham South,bbc.co.uk/nottingham
Bristol Central,bbc.co.uk/radiobristol
Bristol East,bbc.co.uk/radiobristol
Bristol North East,bbc.co.uk/radiobristol
Bristol North West,bbc.co.uk/radiobristol
Bristol South,bbc.co.uk/radiobristol
Camborne and Redruth,bbc.co.uk/radiocornwall
North Cornwall,bbc.co.uk/radiocornwall
South East Cornwall,bbc.co.uk/radiocornwall
St Austell and Newquay,bbc.co.uk/radiocornwall
St Ives,bbc.co.uk/radiocornwall
Truro and Falmouth,bbc.co.uk/radiocornwall
Leicester East,bbc.co.uk/radioleicester
Leicester South,bbc.co.uk/radioleicester
Leicester West,bbc.co.uk/radioleicester
Penistone and Stocksbridge,bbc.co.uk/radiosheffield
Sheffield Brightside and Hillsborough,bbc.co.uk/radiosheffield
Sheffield Central,bbc.co.uk/radiosheffield
Sheffield Hallam,bbc.co.uk/radiosheffield
Sheffield Heeley,bbc.co.uk/radiosheffield
Sheffield South East,bbc.co.uk/radiosheffield
Stoke-on-Trent Central,bbc.co.uk/radiostoke
Stoke-on-Trent North,bbc.co.uk/radiostoke
Stoke-on-Trent South,bbc.co.uk/radiostoke
Chippenham,bbc.co.uk/radiowiltshire
East Wiltshire,bbc.co.uk/radiowiltshire
Melksham and Devizes,bbc.co.uk/radiowiltshire
Salisbury,bbc.co.uk/radiowiltshire
South Cotswolds,bbc.co.uk/radiowiltshire
South West Wiltshire,bbc.co.uk/radiowiltshire
York Central,bbc.co.uk/radioyork
York Outer,bbc.co.uk/radioyork
North Shropshire,bbc.co.uk/shropshire
Shrewsbury,bbc.co.uk/shropshire
South Shropshire,bbc.co.uk/shropshire
The Wrekin,bbc.co.uk/shropshire
Derby North,bbc.in/DerbyListenLive
Derby South,bbc.in/DerbyListenLive
Mid Derbyshire,bbc.in/DerbyListenLive
Belfast East,belfastmedia.com/atown
Belfast North,belfastmedia.com/atown
Belfast South and Mid Down,belfastmedia.com/atown
Belfast West,belfastmedia.com/atown
North Down,belfastmedia.com/atown
Bethnal Green and Stepney,bethnalgreenlondon.co.uk
Poplar and Limehouse,bethnalgreenlondon.co.uk
Stratford and Bow,bethnalgreenlondon.co.uk
Birmingham Edgbaston,bigcityradio.uk
Birmingham Erdington,bigcityradio.uk
Birmingham Hall Green and Moseley,bigcityradio.uk
Birmingham Hodge Hill and Solihull North,bigcityradio.uk
Birmingham Ladywood,bigcityradio.uk
Birmingham Northfield,bigcityradio.uk
Birmingham Perry Barr,bigcityradio.uk
Birmingham Selly Oak,bigcityradio.uk
Birmingham Yardley,bigcityradio.uk
Sutton Coldfield,bigcityradio.uk
Blackburn,blackburnlife.com
Rossendale and Darwen,blackburnlife.com
Brentford and Isleworth,brentford.nub.news
Feltham and Heston,brentford.nub.news
Hammersmith and Chiswick,brentford.nub.news
Clapham and Brixton Hill,brixtonblog.com
Dulwich and West Norwood,brixtonblog.com
Streatham and Croydon North,brixtonblog.com
Vauxhall and Camberwell Green,brixtonblog.com
Blaenau Gwent and Rhymney,caerphilly.observer
Caerphilly,caerphilly.observer
Newport West and Islwyn,caerphilly.observer
Clwyd East,calon.fm
Montgomeryshire and Glyndwr,calon.fm
Wrexham,calon.fm
Barrow and Furness,candofm.co.uk
Morecambe and Lunesdale,candofm.co.uk
Penrith and Solway,candofm.co.uk
Westmorland and Lonsdale,candofm.co.uk
Corby and East Northamptonshire,corby.radio
Daventry,corby.radio
Kettering,corby.radio
South Northamptonshire,corby.radio
Wellingborough and Rushden,corby.radio
North Down,countydownspectator.co.uk
Strangford,countydownspectator.co.uk
Coventry East,coventryobserver.co.uk
Coventry North West,coventryobserver.co.uk
Coventry South,coventryobserver.co.uk
Torfaen,cwmbranlife.co.uk
Ealing Central and Acton,desiradio.org.uk
Ealing North,desiradio.org.uk
Ealing Southall,desiradio.org.uk
Luton North,diversefm.com
Luton South and South Bedfordshire,diversefm.com
Edinburgh East and Musselburgh,eastcoastfm.co.uk
Lothian East,eastcoastfm.co.uk
Edmonton and Winchmore Hill,enfielddispatch.co.uk
Enfield North,enfielddispatch.co.uk
Southgate and Wood Green,enfielddispatch.co.uk
Bootle,eyeonsouthport.co.uk
Liverpool Walton,eyeonsouthport.co.uk
Sefton Central,eyeonsouthport.co.uk
Southport,eyeonsouthport.co.uk
Fermanagh and South Tyrone,fermanaghherald.com
West Tyrone,fermanaghherald.com
Liverpool Garston,flameradio.org
Liverpool Riverside,flameradio.org
Liverpool Walton,flameradio.org
Liverpool Wavertree,flameradio.org
Liverpool West Derby,flameradio.org
Mitcham and Morden,flexfm.co.uk
Wimbledon,flexfm.co.uk
Hayes and Harlington,hayesfm.org.uk
"Ruislip, Northwood and Pinner",hayesfm.org.uk
Uxbridge and South Ruislip,hayesfm.org.uk
Birkenhead,heswall.nub.news
Ellesmere Port and Bromborough,heswall.nub.news
Wallasey,heswall.nub.news
Wirral West,heswall.nub.news
Belfast South and Mid Down,internetradiouk.com/fm105-down-community
Newry and Armagh,internetradiouk.com/fm105-down-community
South Down,internetradiouk.com/fm105-down-community
Strangford,internetradiouk.com/fm105-down-community
Newbury,kennetradio.com
Reading West and Mid Berkshire,kennetradio.com
Kingston and Surbiton,kingston.nub.news
Richmond Park,kingston.nub.news
Wimbledon,kingston.nub.news
Ynys Môn,monfm.co.uk
Ynys Môn,monfm.co.uk
Cities of London and Westminster,mysohotimes.co.uk
Kensington and Bayswater,mysohotimes.co.uk
Queen's Park and Maida Vale,mysohotimes.co.uk
Rutland and Stamford,oakham.nub.news
Harrogate and Knaresborough,radioscarborough.com
Richmond and Northallerton,radioscarborough.com
Scarborough and Whitby,radioscarborough.com
Selby,radioscarborough.com
Skipton and Ripon,radioscarborough.com
Thirsk and Malton,radioscarborough.com
Wetherby and Easingwold,radioscarborough.com
Gower,radiotircoed.live
Neath and Swansea East,radiotircoed.live
Swansea West,radiotircoed.live
South Devon,riviera.fm
Torbay,riviera.fm
Southend East and Rochford,savs-southend.org
Southend West and Leigh,savs-southend.org
Birmingham Hodge Hill and Solihull North,solihullobserver.co.uk
Meriden and Solihull East,solihullobserver.co.uk
Solihull West and Shirley,solihullobserver.co.uk
Cardiff East,uklocal.tv/talkcardiff
Cardiff North,uklocal.tv/talkcardiff
Cardiff South and Penarth,uklocal.tv/talkcardiff
Cardiff West,uklocal.tv/talkcardiff
Chingford and Woodford Green,walthamforestecho.co.uk
Leyton and Wanstead,walthamforestecho.co.uk
Walthamstow,walthamforestecho.co.uk
Kingston upon Hull East,www.107fm.co.uk
Kingston upon Hull North and Cottingham,www.107fm.co.uk
Kingston upon Hull West and Haltemprice,www.107fm.co.uk
Bridgwater,www.10radio.org
Frome and East Somerset,www.10radio.org
Glastonbury and Somerton,www.10radio.org
Taunton and Wellington,www.10radio.org
Tiverton and Minehead,www.10radio.org
Wells and Mendip Hills,www.10radio.org
Yeovil,www.10radio.org
Brighton Kemptown and Peacehaven,www.1btn.fm
Brighton Pavilion,www.1btn.fm
Hove and Portslade,www.1btn.fm
North Ayrshire and Arran,www.3tfm.org.uk
Central Ayrshire,www.3tfm.org.uk
Christchurch,www.abbey104.com
Mid Dorset and North Poole,www.abbey104.com
North Dorset,www.abbey104.com
South Dorset,www.abbey104.com
West Dorset,www.abbey104.com
Monmouthshire,www.abergavennychronicle.com
Chelsea and Fulham,www.ActonW3.com
Ealing Central and Acton,www.ActonW3.com
Hammersmith and Chiswick,www.ActonW3.com
Blackley and Middleton South,www.allfm.org
Gorton and Denton,www.allfm.org
Manchester Central,www.allfm.org
Manchester Rusholme,www.allfm.org
Manchester Withington,www.allfm.org
Wythenshawe and Sale East,www.allfm.org
Alloa and Grangemouth,www.alloaadvertiser.com
Dunfermline and Dollar,www.alloaadvertiser.com
Isle of Wight East,www.angelradioisleofwight.com
Isle of Wight West,www.angelradioisleofwight.com
Angus and Perthshire Glens,www.anguscountyworld.co.uk
Arbroath and Broughty Ferry,www.anguscountyworld.co.uk
"Argyll, Bute and South Lochaber",www.argyllshireadvertiser.co.uk
Bradford East,www.asianstandard.co.uk
Bradford South,www.asianstandard.co.uk
Bradford West,www.asianstandard.co.uk
Colne Valley,www.asianstandard.co.uk
Dewsbury and Batley,www.asianstandard.co.uk
Huddersfield,www.asianstandard.co.uk
Keighley and Ilkley,www.asianstandard.co.uk
Ossett and Denby Dale,www.asianstandard.co.uk
Shipley,www.asianstandard.co.uk
Spen Valley,www.asianstandard.co.uk
Romsey and Southampton North,www.awaazfm.co.uk
Southampton Itchen,www.awaazfm.co.uk
Southampton Test,www.awaazfm.co.uk
Glasgow East,www.awazfm.co.uk
Glasgow North,www.awazfm.co.uk
Glasgow North East,www.awazfm.co.uk
Glasgow South,www.awazfm.co.uk
Glasgow South West,www.awazfm.co.uk
Glasgow West,www.awazfm.co.uk
Paisley and Renfrewshire North,www.awazfm.co.uk
West Dunbartonshire,www.awazfm.co.uk
"Ayr, Carrick and Cumnock",www.ayradvertiser.com
Central Ayrshire,www.ayradvertiser.com
East Antrim,www.ballymoneybubble.co.uk
East Londonderry,www.ballymoneybubble.co.uk
North Antrim,www.ballymoneybubble.co.uk
Barnsley North,www.barnsleychronicle.com
Barnsley South,www.barnsleychronicle.com
Penistone and Stocksbridge,www.barnsleychronicle.com
East Renfrewshire,www.barrheadnews.com
Cardiff South and Penarth,www.barryanddistrictnews.co.uk
Vale of Glamorgan,www.barryanddistrictnews.co.uk
Blaenau Gwent and Rhymney,www.bgfm.wales
Dunstable and Leighton Buzzard,www.biggleswadetoday.co.uk
Hitchin,www.biggleswadetoday.co.uk
Luton South and South Bedfordshire,www.biggleswadetoday.co.uk
Mid Bedfordshire,www.biggleswadetoday.co.uk
North Bedfordshire,www.biggleswadetoday.co.uk
Bishop Auckland,www.bishopfm.com
Blaydon and Consett,www.bishopfm.com
City of Durham,www.bishopfm.com
Easington,www.bishopfm.com
Newton Aycliffe and Spennymoor,www.bishopfm.com
North Durham,www.bishopfm.com
Halesowen,www.blackcountryradio.co.uk
Dudley,www.blackcountryradio.co.uk
Kingswinford and South Staffordshire,www.blackcountryradio.co.uk
Stourbridge,www.blackcountryradio.co.uk
Tipton and Wednesbury,www.blackcountryradio.co.uk
Midlothian,www.blackdiamondfm.com
Blackpool North and Fleetwood,www.blackpoolgazette.co.uk
Blackpool South,www.blackpoolgazette.co.uk
Bolton North East,www.boltonfm.com
Bolton South and Walkden,www.boltonfm.com
Bolton West,www.boltonfm.com
"Brecon, Radnor and Cwm Tawe",www.bordercountiesadvertizer.co.uk
Montgomeryshire and Glyndwr,www.bordercountiesadvertizer.co.uk
Bournemouth East,www.bournemouthecho.co.uk
Bournemouth West,www.bournemouthecho.co.uk
Christchurch,www.bournemouthecho.co.uk
Mid Dorset and North Poole,www.bournemouthecho.co.uk
Poole,www.bournemouthecho.co.uk
Earley and Woodley,www.bradio.co.uk
Reading Central,www.bradio.co.uk
Reading West and Mid Berkshire,www.bradio.co.uk
Bristol North East,www.bradleystokejournal.co.uk
Filton and Bradley Stoke,www.bradleystokejournal.co.uk
North East Somerset and Hanham,www.bradleystokejournal.co.uk
Thornbury and Yate,www.bradleystokejournal.co.uk
Edinburgh East and Musselburgh,www.broughtonspurtle.org.uk
Edinburgh North and Leith,www.broughtonspurtle.org.uk
Edinburgh South,www.broughtonspurtle.org.uk
Edinburgh South West,www.broughtonspurtle.org.uk
Edinburgh West,www.broughtonspurtle.org.uk
Bathgate and Linlithgow,www.broxburnanduphall.com
Livingston,www.broxburnanduphall.com
Aylesbury,www.bucksfreepress.co.uk
Beaconsfield,www.bucksfreepress.co.uk
Buckingham and Bletchley,www.bucksfreepress.co.uk
Chesham and Amersham,www.bucksfreepress.co.uk
Mid Buckinghamshire,www.bucksfreepress.co.uk
Wycombe,www.bucksfreepress.co.uk
Bury North,www.burytimes.co.uk
Bury South,www.burytimes.co.uk
Ceredigion Preseli,www.cambrian-news.co.uk
Hampstead and Highgate,www.camdencitizen.co.uk
Holborn and St Pancras,www.camdencitizen.co.uk
Inverclyde and Renfrewshire West,www.celticmusicradio.net
Paisley and Renfrewshire North,www.celticmusicradio.net
Paisley and Renfrewshire South,www.celticmusicradio.net
Cowdenbeath and Kirkcaldy,www.centralfifetimes.com
Dunfermline and Dollar,www.centralfifetimes.com
Glenrothes and Mid Fife,www.centralfifetimes.com
North East Fife,www.centralfifetimes.com
Chester South and Eddisbury,www.chronicleseries.com
Congleton,www.chronicleseries.com
Crewe and Nantwich,www.chronicleseries.com
Macclesfield,www.chronicleseries.com
Mid Cheshire,www.chronicleseries.com
Tatton,www.chronicleseries.com
Cities of London and Westminster,www.citymatters.london
Plymouth Moor View,www.crossrhythms.co.uk/plymouth
Plymouth Sutton and Devonport,www.crossrhythms.co.uk/plymouth
South West Devon,www.crossrhythms.co.uk/plymouth
"Ayr, Carrick and Cumnock",www.cumnockchronicle.com
Kilmarnock and Loudoun,www.cumnockchronicle.com
Middlesbrough and Thornaby East,www.cvfm.org.uk/index.php
Middlesbrough South and East Cleveland,www.cvfm.org.uk/index.php
Bangor Aberconwy,www.dailypost.co.uk
Clwyd North,www.dailypost.co.uk
Angus and Perthshire Glens,www.dailyrecord.co.uk
Perth and Kinross-shire,www.dailyrecord.co.uk
Stirling and Strathallan,www.dailyrecord.co.uk
Airdrie and Shotts,www.dailyrecord.co.uk/all-about/airdrie-coatbridge
Coatbridge and Bellshill,www.dailyrecord.co.uk/all-about/airdrie-coatbridge
Cumbernauld and Kirkintilloch,www.dailyrecord.co.uk/all-about/airdrie-coatbridge
"Motherwell, Wishaw and Carluke",www.dailyrecord.co.uk/all-about/airdrie-coatbridge
Darlington,www.darlingtonandstocktontimes.co.uk
Stockton West,www.darlingtonandstocktontimes.co.uk
Alyn and Deeside,www.deeside.com
Clwyd East,www.deeside.com
Bangor Aberconwy,www.denbighshirefreepress.co.uk
Clwyd East,www.denbighshirefreepress.co.uk
Clwyd North,www.denbighshirefreepress.co.uk
Dwyfor Meirionnydd,www.denbighshirefreepress.co.uk
East Londonderry,www.derrynow.com
Foyle,www.derrynow.com
West Tyrone,www.derrynow.com
Doncaster Central,www.doncasterfreepress.co.uk
Doncaster East and the Isle of Axholme,www.doncasterfreepress.co.uk
Doncaster North,www.doncasterfreepress.co.uk
Rawmarsh and Conisbrough,www.doncasterfreepress.co.uk
West Dunbartonshire,www.dumbartonreporter.co.uk
Islington North,www.ec1echo.co.uk
Islington South and Finsbury,www.ec1echo.co.uk
South Basildon and East Thurrock,www.essexlive.news
Thurrock,www.essexlive.news
Aberdeen North,www.eveningexpress.co.uk
Aberdeen South,www.eveningexpress.co.uk
Portsmouth North,www.expressfm.com
Portsmouth South,www.expressfm.com
Alloa and Grangemouth,www.falkirkherald.co.uk
Bathgate and Linlithgow,www.falkirkherald.co.uk
Falkirk,www.falkirkherald.co.uk
Aberdeenshire North and Moray East,www.forres-gazette.co.uk
"Moray West, Nairn and Strathspey",www.forres-gazette.co.uk
"Dumfriesshire, Clydesdale and Tweeddale",www.glasgowworld.com
East Kilbride and Strathaven,www.glasgowworld.com
Hamilton and Clyde Valley,www.glasgowworld.com
"Motherwell, Wishaw and Carluke",www.glasgowworld.com
Rutherglen,www.glasgowworld.com
Aberdeenshire North and Moray East,www.grampianonline.co.uk/buckie
Gordon and Buchan,www.grampianonline.co.uk/buckie
West Aberdeenshire and Kincardine,www.grampianonline.co.uk/buckie
Inverclyde and Renfrewshire West,www.greenocktelegraph.co.uk
Brigg and Immingham,www.grimsbytelegraph.co.uk
Great Grimsby and Cleethorpes,www.grimsbytelegraph.co.uk
Hackney North and Stoke Newington,www.hackneycitizen.co.uk
Hackney South and Shoreditch,www.hackneycitizen.co.uk
Islington South and Finsbury,www.hackneycitizen.co.uk
Tottenham,www.hackneycitizen.co.uk
Calder Valley,www.halifaxcourier.co.uk
Halifax,www.halifaxcourier.co.uk
Middlesbrough and Thornaby East,www.hartlepoollife.co.uk
Stockton North,www.hartlepoollife.co.uk
Stockton West,www.hartlepoollife.co.uk
Hartlepool,www.hartlepoollife.co.uk/category/east-durham-life
Hereford and South Herefordshire,www.herefordtimes.com
North Herefordshire,www.herefordtimes.com
Blyth and Ashington,www.hexham-courant.co.uk
Cramlington and Killingworth,www.hexham-courant.co.uk
Hexham,www.hexham-courant.co.uk
North Northumberland,www.hexham-courant.co.uk
Chingford and Woodford Green,www.ilfordrecorder.co.uk
Ilford North,www.ilfordrecorder.co.uk
Ilford South,www.ilfordrecorder.co.uk
Leyton and Wanstead,www.ilfordrecorder.co.uk
St Ives,www.islandsfm.org
"Argyll, Bute and South Lochaber",www.johnogroat-journal.co.uk
"Caithness, Sutherland and Easter Ross",www.johnogroat-journal.co.uk
"Inverness, Skye and West Ross-shire",www.johnogroat-journal.co.uk
"Moray West, Nairn and Strathspey",www.johnogroat-journal.co.uk
Chelsea and Fulham,www.kctimes.co.uk
Kensington and Bayswater,www.kctimes.co.uk
Chatham and Aylesford,www.kentonline.co.uk/dartford
Gillingham and Rainham,www.kentonline.co.uk/dartford
Rochester and Strood,www.kentonline.co.uk/dartford
Brent East,www.kilburntimes.co.uk
Brent West,www.kilburntimes.co.uk
Harrow East,www.kilburntimes.co.uk
Queen's Park and Maida Vale,www.kilburntimes.co.uk
Leigh and Atherton,www.leighjournal.co.uk
Makerfield,www.leighjournal.co.uk
Wigan,www.leighjournal.co.uk
Worsley and Eccles,www.leighjournal.co.uk
Belfast East,www.lisburns98fm.com
Belfast South and Mid Down,www.lisburns98fm.com
Belfast West,www.lisburns98fm.com
Lagan Valley,www.lisburns98fm.com
South Antrim,www.lisburns98fm.com
Maidenhead,www.maidenhead-advertiser.co.uk
Windsor,www.maidenhead-advertiser.co.uk
Cheadle,www.manchestereveningnews.co.uk
Hazel Grove,www.manchestereveningnews.co.uk
Stockport,www.manchestereveningnews.co.uk
Ceredigion Preseli,www.milfordmercury.co.uk
Mid and South Pembrokeshire,www.milfordmercury.co.uk
Buckingham and Bletchley,www.miltonkeynes.co.uk
Milton Keynes Central,www.miltonkeynes.co.uk
Milton Keynes North,www.miltonkeynes.co.uk
Croydon East,www.mylondon.news/all-about/croydon
Croydon South,www.mylondon.news/all-about/croydon
Croydon West,www.mylondon.news/all-about/croydon
Streatham and Croydon North,www.mylondon.news/all-about/croydon
East Ham,www.newhamrecorder.co.uk
Stratford and Bow,www.newhamrecorder.co.uk
West Ham and Beckton,www.newhamrecorder.co.uk
Beckenham and Penge,www.newsshopper.co.uk
Bexleyheath and Crayford,www.newsshopper.co.uk
Bromley and Biggin Hill,www.newsshopper.co.uk
Eltham and Chislehurst,www.newsshopper.co.uk
Eltham and Chislehurst,www.newsshopper.co.uk
Erith and Thamesmead,www.newsshopper.co.uk
Erith and Thamesmead,www.newsshopper.co.uk
Greenwich and Woolwich,www.newsshopper.co.uk
Old Bexley and Sidcup,www.newsshopper.co.uk
Orpington,www.newsshopper.co.uk
North Somerset,www.northsomersettimes.co.uk
Wells and Mendip Hills,www.northsomersettimes.co.uk
Weston-super-Mare,www.northsomersettimes.co.uk
"Dumfriesshire, Clydesdale and Tweeddale",www.northumberlandgazette.co.uk
"Berwickshire, Roxburgh and Selkirk",www.northumberlandgazette.co.uk
Orkney and Shetland,www.orcadian.co.uk
North West Cambridgeshire,www.pcrfm.co.uk
Peterborough,www.pcrfm.co.uk
Halesowen,www.pioneermagazines.co.uk
Smethwick,www.pioneermagazines.co.uk
Tipton and Wednesbury,www.pioneermagazines.co.uk
West Bromwich,www.pioneermagazines.co.uk
Brentford and Isleworth,www.richmondandtwickenhamtimes.co.uk
Richmond Park,www.richmondandtwickenhamtimes.co.uk
Twickenham,www.richmondandtwickenhamtimes.co.uk
Rawmarsh and Conisbrough,www.rotherhamadvertiser.co.uk
Rother Valley,www.rotherhamadvertiser.co.uk
Rotherham,www.rotherhamadvertiser.co.uk
Bolton South and Walkden,www.salfordcityradio.org
Bury South,www.salfordcityradio.org
Salford,www.salfordcityradio.org
Worsley and Eccles,www.salfordcityradio.org
Brigg and Immingham,www.scunthorpetelegraph.co.uk
Doncaster East and the Isle of Axholme,www.scunthorpetelegraph.co.uk
Scunthorpe,www.scunthorpetelegraph.co.uk
Bermondsey and Old Southwark,www.se1.news
Dulwich and West Norwood,www.se1.news
Lewisham West and East Dulwich,www.se1.news
Peckham,www.se1.news
Vauxhall and Camberwell Green,www.se1.news
Orkney and Shetland,www.shetnews.co.uk
Bath,www.somersetlive.co.uk/contact-us
Frome and East Somerset,www.somersetlive.co.uk/contact-us
North East Somerset and Hanham,www.somersetlive.co.uk/contact-us
Houghton and Sunderland South,www.sparksunderland.com
Sunderland Central,www.sparksunderland.com
Washington and Gateshead South,www.sparksunderland.com
St Helens North,www.sthelensstar.co.uk
St Helens South and Whiston,www.sthelensstar.co.uk
Stirling and Strathallan,www.stirlingnews.co.uk
Na h-Eileanan an Iar,www.stornowaygazette.co.uk
East Wiltshire,www.swindon1055.co.uk
Swindon North,www.swindon1055.co.uk
Swindon South,www.swindon1055.co.uk
Ashton-under-Lyne,www.tamesidecorrespondent.co.uk
Gorton and Denton,www.tamesidecorrespondent.co.uk
Stalybridge and Hyde,www.tamesidecorrespondent.co.uk
Hampstead and Highgate,www.thetottenhamindependent.co.uk
Hornsey and Friern Barnet,www.thetottenhamindependent.co.uk
Southgate and Wood Green,www.thetottenhamindependent.co.uk
Tottenham,www.thetottenhamindependent.co.uk
Chipping Barnet,www.times-series.co.uk
Finchley and Golders Green,www.times-series.co.uk
Harrow East,www.times-series.co.uk
Harrow West,www.times-series.co.uk
Hendon,www.times-series.co.uk
Hornsey and Friern Barnet,www.times-series.co.uk
"Ruislip, Northwood and Pinner",www.times-series.co.uk
Normanton and Hemsworth,www.wakefieldexpress.co.uk
Ossett and Denby Dale,www.wakefieldexpress.co.uk
"Pontefract, Castleford and Knottingley",www.wakefieldexpress.co.uk
Wakefield and Rothwell,www.wakefieldexpress.co.uk
Caerfyrddin,www.walesonline.co.uk
Llanelli,www.walesonline.co.uk
Cardiff North,www.walesonline.co.uk/all-about/cynon-valley
Cardiff West,www.walesonline.co.uk/all-about/cynon-valley
Merthyr Tydfil and Aberdare,www.walesonline.co.uk/all-about/cynon-valley
Pontypridd,www.walesonline.co.uk/all-about/cynon-valley
Rhondda and Ogmore,www.walesonline.co.uk/all-about/cynon-valley
Merthyr Tydfil and Aberdare,www.walesonline.co.uk/contact-us
Tatton,www.warrington-worldwide.co.uk
Warrington North,www.warrington-worldwide.co.uk
Warrington South,www.warrington-worldwide.co.uk
Earley and Woodley,www.wokingham.today
Wokingham,www.wokingham.today
